Team,Location,Against,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,WinsLosses
WAS,Home,CHA,240,130,48,93,51.6,13,37,35.1,21,24,87.5,9,33,42,35,8,6,12,18,W
WAS,Home,CHI,240,92,34,85,40,9,30,30,15,18,83.3,8,32,40,22,7,6,13,18,L
WAS,Away,DET,240,95,38,83,45.8,9,33,27.3,10,13,76.9,6,25,31,17,14,4,16,21,L
WAS,Away,IND,240,89,28,76,36.8,9,35,25.7,24,26,92.3,6,31,37,21,8,1,22,18,L
WAS,Home,PHX,315,149,56,111,50.5,13,36,36.1,24,27,88.9,17,36,53,40,6,5,22,26,W
WAS,Away,HOU,240,118,45,84,53.6,10,30,33.3,18,23,78.3,4,27,31,28,8,2,11,15,L
WAS,Away,ATL,240,110,36,83,43.4,13,40,32.5,25,36,69.4,9,28,37,26,14,1,15,32,L
WAS,Home,LAL,240,128,54,106,50.9,13,31,41.9,7,10,70,15,36,51,30,14,5,17,13,W
WAS,Away,BKN,240,118,49,90,54.4,11,29,37.9,9,16,56.3,4,22,26,30,3,3,9,24,L
WAS,Home,BOS,265,125,46,91,50.5,12,33,36.4,21,29,72.4,8,33,41,25,7,4,15,27,L
WAS,Away,IND,240,101,37,88,42,10,30,33.3,17,24,70.8,6,28,34,22,13,3,12,22,L
WAS,Away,CLE,240,101,38,86,44.2,14,38,36.8,11,16,68.8,8,25,33,26,3,3,8,12,L
WAS,Away,ATL,240,131,46,95,48.4,12,38,31.6,27,32,84.4,12,37,49,35,9,4,16,24,W
WAS,Away,NYK,240,110,44,92,47.8,13,32,40.6,9,12,75,8,30,38,30,7,8,10,24,W
WAS,Home,BKN,240,102,41,79,51.9,8,26,30.8,12,18,66.7,2,36,38,19,8,3,13,21,W
WAS,Away,PHI,240,98,37,92,40.2,8,28,28.6,16,19,84.2,8,34,42,22,10,4,16,20,L
WAS,Away,NOP,240,104,41,95,43.2,13,39,33.3,9,16,56.3,12,26,38,26,12,2,16,22,L
WAS,Home,HOU,265,135,50,89,56.2,11,29,37.9,24,32,75,9,29,38,29,7,7,13,29,W
WAS,Home,NOP,240,124,51,90,56.7,10,29,34.5,12,23,52.2,5,40,45,30,12,9,15,16,W
WAS,Away,TOR,240,107,40,100,40,9,46,19.6,18,19,94.7,14,30,44,28,8,7,13,16,L
WAS,Home,LAC,240,125,40,93,43,13,39,33.3,32,39,82.1,11,33,44,27,11,8,7,20,W
WAS,Home,POR,240,109,43,96,44.8,13,32,40.6,10,21,47.6,9,34,43,28,4,9,12,30,L
WAS,Home,BKN,240,104,37,87,42.5,3,18,16.7,27,34,79.4,12,35,47,18,5,4,13,23,L
WAS,Home,CLE,240,119,44,92,47.8,13,40,32.5,18,26,69.2,12,32,44,30,17,3,18,25,W
WAS,Home,ORL,240,117,40,79,50.6,13,33,39.4,24,33,72.7,7,34,41,24,8,7,12,17,W
WAS,Away,MIA,240,116,40,83,48.2,8,22,36.4,28,38,73.7,16,32,48,14,8,5,16,25,W
WAS,Away,ORL,240,108,42,82,51.2,11,27,40.7,13,19,68.4,6,29,35,24,8,3,19,18,L
WAS,Away,DAL,240,100,37,87,42.5,11,35,31.4,15,20,75,5,27,32,27,8,6,10,24,L
WAS,Home,NYK,240,108,36,83,43.4,6,26,23.1,30,39,76.9,15,32,47,21,12,11,13,18,W
WAS,Home,OKC,240,111,44,86,51.2,9,30,30,14,18,77.8,6,24,30,27,6,4,19,21,L
WAS,Away,MEM,240,95,32,74,43.2,14,35,40,17,20,85,5,32,37,24,9,7,20,22,L
WAS,Away,LAC,240,104,38,97,39.2,5,27,18.5,23,28,82.1,14,31,45,18,7,3,14,16,L
WAS,Away,SAC,240,112,40,86,46.5,14,42,33.3,18,23,78.3,5,37,42,22,8,7,21,27,L
WAS,Away,GSW,240,122,42,93,45.2,12,42,28.6,26,28,92.9,7,27,34,22,7,1,12,24,L
WAS,Away,POR,265,125,46,110,41.8,15,37,40.5,18,26,69.2,12,42,54,23,6,7,10,27,W
WAS,Home,TOR,240,113,37,89,41.6,13,39,33.3,26,32,81.3,9,28,37,20,11,9,11,27,L
WAS,Home,MIA,240,112,38,81,46.9,7,26,26.9,29,39,74.4,7,33,40,19,7,15,14,31,L
WAS,Home,BOS,240,110,41,97,42.3,14,39,35.9,14,18,77.8,13,45,58,28,2,3,15,18,L
WAS,Away,NYK,240,110,43,103,41.7,10,34,29.4,14,18,77.8,21,29,50,24,12,4,9,16,L
WAS,Home,SAS,240,112,42,88,47.7,9,32,28.1,19,22,86.4,9,25,34,22,2,4,10,16,L
