Team,Location,Against,Min,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,WinsLosses
HOU,Home,UTA,240,48,95,50.5,15,41,36.6,11,12,91.7,8,34,42,25,6,6,12,20,W
UTA,Away,HOU,240,30,77,39,7,27,25.9,23,27,85.2,7,34,41,17,6,2,19,20,L
HOU,Home,UTA,240,38,80,47.5,17,42,40.5,25,30,83.3,8,38,46,17,8,9,18,18,W
UTA,Away,HOU,240,39,98,39.8,8,38,21.1,12,18,66.7,15,33,48,27,16,3,12,26,L
HOU,Away,UTA,240,33,86,38.4,15,45,33.3,23,34,67.6,9,43,52,19,11,4,13,25,W
UTA,Home,HOU,240,32,77,41.6,12,41,29.3,25,38,65.8,7,41,48,21,9,11,14,22,L
HOU,Away,UTA,240,28,79,35.4,17,46,37,18,24,75,9,26,35,14,9,4,16,23,L
UTA,Home,HOU,240,37,86,43,11,35,31.4,22,26,84.6,16,36,52,24,7,7,15,19,W
HOU,Home,UTA,240,36,81,44.4,13,37,35.1,15,22,68.2,9,37,46,17,12,12,17,21,W
UTA,Away,HOU,240,35,94,37.2,9,38,23.7,14,19,73.7,14,33,47,26,8,4,16,22,L
