Team,Location,Against,Min,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,WinsLosses
SAS,Away,DEN,240,40,83,48.2,7,15,46.7,14,20,70,10,37,47,20,4,4,11,17,W
DEN,Home,SAS,240,37,88,42,6,28,21.4,16,24,66.7,13,33,46,25,8,3,10,18,L
SAS,Away,DEN,240,39,86,45.3,5,18,27.8,22,25,88,11,39,50,20,3,3,10,20,L
DEN,Home,SAS,240,43,89,48.3,10,24,41.7,18,26,69.2,7,34,41,29,5,2,6,21,W
SAS,Home,DEN,240,44,89,49.4,7,18,38.9,23,32,71.9,15,30,45,24,9,2,6,20,W
DEN,Away,SAS,240,42,81,51.9,15,29,51.7,9,17,52.9,10,27,37,31,3,1,13,21,L
SAS,Home,DEN,240,37,79,46.8,5,17,29.4,24,32,75,11,35,46,23,4,4,10,22,L
DEN,Away,SAS,240,40,89,44.9,15,31,48.4,22,24,91.7,11,34,45,25,4,2,8,22,W
SAS,Away,DEN,240,37,90,41.1,7,24,29.2,9,15,60,10,32,42,17,6,3,8,20,L
DEN,Home,SAS,240,39,78,50,14,33,42.4,16,20,80,7,42,49,25,4,6,14,21,W
SAS,Home,DEN,240,48,84,57.1,10,24,41.7,14,17,82.4,10,31,41,25,3,7,8,17,W
DEN,Away,SAS,240,44,96,45.8,6,24,25,9,12,75,12,25,37,26,5,3,7,18,L
SAS,Away,DEN,240,31,85,36.5,6,23,26.1,18,20,90,8,37,45,19,3,5,6,20,L
DEN,Home,SAS,240,35,88,39.8,2,20,10,18,23,78.3,13,40,53,21,3,8,6,19,W
